sorts,3
knows,2
puzzling,4
try,12
used,12
times,6
five,2
six,2
seven,4
twenty,1
multiplication,1
london,1
capital,4
paris,1
doth,3
crossed,3
hands,6
lap,2
repeat,6
voice,18
sounded,5
hoarse,2
crocodile,1
improve,1
his,94
shining,1
pour,1
waters,1
nile,1
cheerfully,1
seems,4
neatly,2
spread,3
welcome,1
fishes,1
gently,3
smiling,2
again,13
mabel,1
live,7
poky,1
toys,1
play,8
stay,4
putting,3
being,19
till,19
sudden,5
burst,1
alone,2
while,20
done,10
growing,6
measure,1
nearly,10
shrinking,4
cause,2
avoid,1
narrow,1
frightened,7
speed,1
worse,2
declare,1
these,13
foot,5
chin,4
salt,2
somehow,1
case,4
seaside,1
general,3
wherever,2
english,1
coast,1
number,5
bathing,1
machines,1
digging,3
sand,1
wooden,1
lodging,1
railway,1
wept,1
swam,5
punished,1
drowned,1
something,14
splashing,2
nearer,4
walrus,1
mouse,20
slipped,2
harm,1
swimming,2
o,1
speaking,2
latin,1
wink,2
understand,5
daresay,1
french,3
william,3
knowledge,1
clear,2
notion,3
ago,1
est,1
ma,1
sentence,5
leap,1
quiver,1
beg,7
afraid,9
hurt,2
passionate,1
soothing,1
angry,3
yet,9
show,3
our,8
cat,15
dear,6
quiet,2
lazily,1
sits,1
purring,1
nicely,2
licking,1
paws,2
washing,1
soft,1
catching,2
bristling,1
talk,10
trembling,6
end,13
family,1
always,12
vulgar,1
hurry,4
change,9
subject,2
dog,2
house,8
curly,1
brown,1
fetch,5
throw,3
sit,5
belongs,2
says,4
hundred,1
kills,1
rats,1
sorrowful,2
offended,7
commotion,1
called,15
softly,1
we,16
dogs,1
slowly,6
pale,2
us,9
why,7
hate,1
high,4
crowded,5
birds,7
animals,3
duck,2
lory,3
whole,13
party,7
assembled,2
draggled,1
fur,2
clinging,1
dripping,1
course,11
consultation,1
natural,3
familiarly,1
known,1
argument,4
last,26
older,2
allow,2
knowing,2
old,13
positively,1
refused,1
person,2
authority,2
fixed,1
bad,1
cold,1
important,3
driest,1
silence,4
whose,2
favoured,1
submitted,1
wanted,4
accustomed,1
usurpation,1
edwin,1
earls,2
mercia,2
declared,1
patriotic,1
archbishop,2
replied,14
means,2
frog,1
notice,5
hurriedly,2
advisable,1
edgar,1
atheling,1
meet,2
offer,2
him,23
conduct,1
insolence,1
turning,12
wet,1
melancholy,6
dodo,9
rising,1
move,2
meeting,1
immediate,1
adoption,1
energetic,1
meaning,7
believe,8
eaglet,1
bent,1
hide,1
tittered,1
paused,1
inclined,1
explain,8
winter,1
exact,1
shape,1
placed,1
running,8
easy,2
race,2
hour,2
has,7
pressed,3
forehead,2
position,2
rest,9
chorus,2
voices,2
pointing,3
calling,1
confused,3
despair,1
pulled,1
water,2
handed,3
exactly,6
prize,1
solemnly,2
presented,1
acceptance,1
elegant,1
short,4
grave,3
dare,5
simply,2
looking,30
solemn,3
caused,2
noise,3
complained,1
ones,1
choked,3
patted,1
begged,1
promised,1
added,20
sad,2
call,5
met,3
both,14
prosecute,1
morning,1
jury,9
wasting,2
cunning,1
condemn,1
fifth,1
sharply,1
undo,1
insult,1
mean,7
pleaded,3
easily,3
growled,1
finish,4
others,4
joined,2
please,8
shook,9
pity,1
sighed,5
crab,1
daughter,1
lesson,1
lose,1
young,5
patience,1
addressing,1
nobody,4
venture,3
bird,1
speech,1
sensation,1
magpie,1
wrapping,1
itself,8
suit,3
canary,1
various,1
pretexts,1
moved,4
mentioned,3
lonely,2
footsteps,1
lost,1
ferrets,1
where,10
guessed,3
hunting,3
